2024-03-11 19:08:12.389 INFO  (qtp738677855-27-null-8) [c: s: r: x:n11_restaurants t:null-8] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[995e1f32-7ddc-487a-b67a-69c4f6223454 (1793257994780147712)]} 0 979
2024-03-11 19:08:12.717 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-9) [c: s: r: x:n11_restaurants t:null-9] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:08:12.730 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-9) [c: s: r: x:n11_restaurants t:null-9] o.a.s.c.SolrCore Registered new searcher autowarm time: 4 ms
2024-03-11 19:08:12.734 INFO  (qtp738677855-24-null-9) [c: s: r: x:n11_restaurants t:null-9] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 322
2024-03-11 19:13:51.009 INFO  (qtp738677855-20-null-10) [c: s: r: x:n11_restaurants t:null-10] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[369348be-f20a-4526-abe1-04289251006f (1793258349913964544)]} 0 15
2024-03-11 19:13:51.213 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-11) [c: s: r: x:n11_restaurants t:null-11] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:13:51.221 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-11) [c: s: r: x:n11_restaurants t:null-11] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:13:51.222 INFO  (qtp738677855-23-null-11) [c: s: r: x:n11_restaurants t:null-11] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 189
2024-03-11 19:14:02.643 INFO  (qtp738677855-27-null-12) [c: s: r: x:n11_restaurants t:null-12] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[d0ccbe13-08e6-4f73-a614-ff0a71d37eaa (1793258362108903424)]} 0 19
2024-03-11 19:14:02.829 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-13) [c: s: r: x:n11_restaurants t:null-13] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:14:02.835 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-13) [c: s: r: x:n11_restaurants t:null-13] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:14:02.837 INFO  (qtp738677855-23-null-13) [c: s: r: x:n11_restaurants t:null-13] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 189
